"IntAngle","%I"
42.99563,98.19328
42.99041,98.16527
42.98518,98.13725
42.97996,98.03921
42.97474,97.94117
42.96951,98.13725
42.96429,98.03921
42.95907,97.94118
42.95385,98.26798
42.94862,98.20262
42.9434,98.13725
42.93818,98.13725
42.93296,98.13725
42.92773,98.16994
42.92251,98.20262
42.91729,98.13726
42.91207,98.13726
42.90685,97.94117
42.90163,97.94117
42.8964,98.13725
42.89119,98.13725
42.88596,97.94118
42.88074,97.94118
42.87552,97.94118
42.8703,97.94118
42.86508,97.94118
42.85986,97.94118
42.85464,97.98039
42.84942,98.01961
42.8442,98.05882
42.83898,98.09804
42.83376,98.13725
42.82854,97.94118
42.82332,97.74511
42.8181,97.87582
42.81288,98.00654
42.80766,98.13726
42.80244,98.03922
42.79722,97.94117
42.792,97.94117
42.78678,97.94117
42.78156,97.94117
42.77634,97.9902
42.77113,98.03922
42.76591,97.9902
42.76069,97.94118
42.75547,97.7451
42.75025,97.84314
42.74503,97.94118
42.73982,97.94118
42.7346,97.94118
42.72938,97.84314
42.72416,97.7451
42.71894,97.62255
42.71373,97.5
42.70851,97.86764
42.70329,97.84314
42.69808,97.81862
42.69286,97.79411
42.68764,97.7696
42.68243,97.74509
42.67721,97.74509
42.67199,97.74509
42.66678,97.74509
42.66156,97.64705
42.65635,97.54902
42.65113,97.64705
42.64591,97.74509
42.6407,97.59804
42.63548,97.64706
42.63026,97.69608
42.62505,97.7171
42.61983,97.62371
42.61462,97.53035
42.60941,97.43697
42.60419,97.507
42.59898,97.57704
42.59376,97.54903
42.58855,97.5
42.58333,97.45099
42.57812,97.5
42.5729,97.54902
42.56769,97.52451
42.56248,97.5
42.55726,97.47549
42.55205,97.45098
42.54683,97.42647
42.54162,97.5
42.53641,97.57353
42.5312,97.54902
42.52598,97.45098
42.52077,97.35294
42.51556,97.35294
42.51035,97.35294
42.50513,97.33333
42.49992,97.31372
42.49471,97.29412
42.48949,97.27451
42.48428,97.2549
42.47907,97.23529
42.47386,97.21569
42.46865,97.19608
42.46344,97.17647
42.45823,97.15686
42.45301,97.18486
42.4478,97.21288
42.44259,97.14286
42.43738,97.07282
42.43217,97.06815
42.42696,97.06349
42.42175,97.05882
42.41654,97.02615
42.41133,96.99346
42.40612,96.96079
42.40091,96.86275
42.3957,96.76471
42.39049,96.83473
42.38528,96.90477
42.38007,96.87675
42.37486,96.84874
42.36965,96.82073
42.36444,96.79272
42.35923,96.76471
42.35403,96.69935
42.34882,96.63398
42.34361,96.56863
42.3384,96.56863
42.33319,96.56863
42.32799,96.56863
42.32278,96.56863
42.31757,96.61764
42.31236,96.66666
42.30716,96.61764
42.30195,96.56863
42.29674,96.37254
42.29153,96.37254
42.28633,96.37255
42.28112,96.38888
42.27591,96.40523
42.27071,96.42157
42.2655,96.37255
42.2603,96.27451
42.25509,96.19825
42.24989,96.22004
42.24468,96.24182
42.23948,96.2146
42.23427,96.18737
42.22906,96.16013
42.22386,96.1329
42.21865,96.08932
42.21345,96.04575
42.20824,95.98039
42.20304,95.88236
42.19783,95.78431
42.19263,95.78431
42.18743,95.78431
42.18222,95.58823
42.17702,95.4902
42.17181,95.39216
42.16661,95.39216
42.16141,95.39216
42.15621,95.3268
42.151,95.26143
42.1458,95.19608
42.1406,95.13072
42.1354,95.06536
42.13019,95
42.12499,94.80392
42.11979,94.60785
42.11459,94.41176
42.10939,94.21569
42.10418,94.2353
42.09898,94.25491
42.09378,94.27451
42.08858,94.09804
42.08338,93.92157
42.07818,93.54902
42.07298,93.47058
42.06778,93.39216
42.06258,93.21568
42.05738,92.84314
42.05218,92.64706
42.04698,92.45098
42.04178,92.05883
42.03658,91.86275
42.03138,91.47059
42.02618,91.17647
42.02098,90.88234
42.01578,90.68627
42.01058,90.09803
42.00538,89.5098
42.00019,89.31372
41.99499,88.72548
41.98979,88.36602
41.98459,87.81045
41.97939,87.2549
41.9742,86.89543
41.969,86.9281
41.9638,86.96079
41.9586,86.96079
41.95341,86.96079
41.94821,87.35295
41.94301,87.94118
41.93782,88.33334
41.93262,88.92157
41.92743,89.90197
41.92223,90.88235
41.91703,91.66666
41.91184,92.45098
41.90664,93.03921
41.90145,93.62745
41.89625,94.41176
41.89106,94.80392
41.88586,95.39216
41.88066,95.68627
41.87547,95.98039
41.87028,96.37255
41.86508,96.7647
41.85989,96.98529
41.85469,97.20588
41.8495,97.42647
41.84431,97.51634
41.83912,97.60621
41.83392,97.69609
41.82873,97.78595
41.82354,97.87582
41.81834,98.03921
41.81315,98.13725
41.80796,98.13725
41.80277,98.23529
41.79758,98.33334
41.79239,98.33334
41.78719,98.33334
41.782,98.33334
41.77681,98.33334
41.77162,98.33334
41.76643,98.23529
41.76124,98.13726
41.75605,98.10575
41.75085,98.07424
41.74567,98.04272
41.74047,98.01121
41.73529,97.9797
41.73009,97.94818
41.72491,97.91666
41.71972,98.03922
41.71453,98.13726
41.70934,98.13726
41.70415,98.13726
41.69896,98.13725
41.69378,98.13725
41.68859,98.13725
41.6834,98.03921
41.67821,97.94117
41.67302,97.94117
41.66784,97.90196
41.66265,98.05882
41.65746,98.03922
41.65227,98.0196
41.64709,98
41.6419,97.95425
41.63671,97.9085
41.63153,97.86274
41.62634,97.88235
41.62115,97.90196
41.61597,97.87255
41.61078,97.84314
41.6056,97.79411
41.60041,97.74509
41.59523,97.74509
41.59004,97.74509
41.58486,97.74509
41.57967,97.69607
41.57449,97.64705
41.56931,97.69607
41.56412,97.7451
41.55894,97.7451
41.55376,97.7451
41.54857,97.7451
41.54339,97.7451
41.5382,97.7451
41.53302,97.7451
41.52784,97.7451
41.52266,97.82353
41.51748,97.8366
41.51229,97.84967
41.50711,97.86276
41.50193,97.84313
41.49675,97.7451
41.49157,97.7451
41.48639,97.64706
41.4812,97.54902
41.47602,97.54902
41.47084,97.52101
41.46566,97.493
41.46048,97.46499
41.45531,97.43698
41.45013,97.40896
41.44495,97.57704
41.43977,97.54901
41.43459,97.48365
41.42941,97.41829
41.42423,97.35294
41.41905,97.39651
41.41388,97.44009
41.4087,97.48366
41.40352,97.52723
41.39834,97.57081
41.39316,97.57516
41.38799,97.57953
41.38281,97.58388
41.37763,97.58825
41.37246,97.54902
41.36728,97.54902
41.3621,97.48366
41.35693,97.41829
41.35175,97.35294
41.34657,97.54902
41.3414,97.2549
41.33622,97.15687
41.33105,97.15687
41.32587,97.35295
41.3207,97.2549
41.31553,96.96078
41.31035,97.05882
41.30518,97.15686
41.3,97.15686
41.29483,97.15686
41.28965,97.15686
41.28448,97.15686
41.27931,97.15686
41.27414,97.15686
41.26896,97.05883
41.26379,96.96079
41.25862,97.10785
41.25344,97.25489
41.24828,97.23855
41.2431,97.22222
41.23793,97.05882
41.23276,96.93628
41.22759,96.97713
41.22242,97.01797
41.21725,97.05883
41.21208,97.03432
41.20691,97.0098
41.20174,96.9853
41.19657,96.96079
41.1914,96.76471
41.18623,96.76471
41.18106,96.76471
41.17589,96.76471
41.17072,96.76471
41.16555,96.76472
41.16039,96.72549
41.15522,96.78432
41.15005,96.84313
41.14488,96.80392
41.13971,96.7647
41.13455,96.7647
41.12938,96.7647
41.12421,96.78104
41.11905,96.79738
41.11388,96.61764
41.10872,96.63399
41.10355,96.65032
41.09838,96.66666
41.09322,96.68301
41.08805,96.63399
41.08289,96.58497
41.07772,96.53595
41.07256,96.55229
41.06739,96.56863
41.06223,96.56863
41.05706,96.61766
41.0519,96.66667
41.04674,96.61765
41.04157,96.56863
41.03641,96.35294
41.03125,96.33333
41.02608,96.31372
41.02092,96.39216
41.01576,96.47059
41.0106,96.45098
41.00544,96.43137
41.00027,96.41176
40.99511,96.39216
40.98995,96.37255
40.98479,96.27451
40.97963,96.27451
40.97447,96.47059
40.96931,96.56863
40.96415,96.37255
40.95899,96.31653
40.95383,96.26051
40.94867,96.20448
40.94351,96.14846
40.93835,96.09244
40.93319,96.03642
40.92804,95.98039
40.92288,95.98039
40.91772,95.98039
40.91256,95.98039
40.9074,95.98039
40.90224,96.07843
40.89709,96.17646
40.89193,96.17646
40.88678,96.07843
40.88162,95.98038
40.87646,95.98038
40.87131,95.98038
40.86615,95.98038
40.861,95.78431
40.85584,96.04575
40.85069,96.01307
40.84553,95.9804
40.84038,95.96405
40.83522,95.94771
40.83007,95.93138
40.82491,95.91503
40.81976,95.89869
40.81461,95.88236
40.80945,95.86602
40.8043,95.84967
40.79915,95.83333
40.79399,95.88235
40.78884,95.93136
40.78369,95.98039
40.77854,95.58824
40.77339,95.58824
40.76824,95.58824
40.76308,95.65827
40.75793,95.72828
40.75278,95.70028
40.74763,95.67226
40.74249,95.64425
40.73734,95.61624
40.73219,95.58823
40.72704,95.49019
40.72189,95.39216
40.71674,95.39216
40.71159,95.39216
40.70644,95.41523
40.70129,95.39908
40.69614,95.38294
40.69099,95.36678
40.68585,95.35063
40.6807,95.33449
40.67555,95.35755
40.67041,95.38062
40.66526,95.40368
40.66011,95.42676
40.65497,95.38447
40.64982,95.34218
40.64468,95.29989
40.63953,95.32296
40.63438,95.34603
40.62924,95.36909
40.6241,95.39216
40.61895,95.29412
40.61381,95.09804
40.60867,95.06535
40.60352,95.13071
40.59838,95.19607
40.59324,95.19607
40.58809,95.09804
40.58295,95
40.5778,94.98039
40.57266,94.96078
40.56752,94.94118
40.56238,94.92157
40.55724,94.90196
40.5521,94.88235
40.54696,94.86275
40.54182,94.84314
40.53667,94.82353
40.53154,94.80392
40.5264,94.70588
40.52126,94.80393
40.51612,94.76471
40.51098,94.7255
40.50584,94.68627
40.5007,94.64706
40.49556,94.60784
40.49043,94.60784
40.48529,94.60784
40.48015,94.60784
40.47501,94.50981
40.46988,94.41176
40.46474,94.38375
40.4596,94.35574
40.45446,94.32773
40.44933,94.29972
40.44419,94.36975
40.43906,94.43977
40.43392,94.31373
40.42879,94.21569
40.42365,94.31373
40.41852,94.21568
40.41338,94.15032
40.40825,94.08496
40.40311,94.0196
40.39798,93.95425
40.39285,93.88889
40.38771,93.82353
40.38258,93.82353
40.37745,93.82353
40.37232,93.82353
40.36718,93.77451
40.36205,93.72549
40.35692,93.67647
40.35179,93.66013
40.34666,93.6928
40.34153,93.72549
40.3364,93.56208
40.33127,93.54574
40.32614,93.52942
40.32101,93.4804
40.31588,93.43137
40.31075,93.36602
40.30562,93.30066
40.30049,93.2353
40.29536,93.18628
40.29024,93.13726
40.28511,93.08824
40.27998,93.03922
40.27485,92.84314
40.26973,92.80392
40.2646,92.76471
40.25948,92.72549
40.25435,92.68628
40.24922,92.64706
40.24409,92.54902
40.23897,92.45099
40.23384,92.35294
40.22872,92.2549
40.22359,92.15687
40.21847,92.15686
40.21335,92.05882
40.20823,91.86274
40.2031,91.9281
40.19798,91.89543
40.19286,91.86275
40.18773,91.73203
40.18261,91.6013
40.17749,91.47059
40.17237,91.42157
40.16724,91.37255
40.16212,91.32353
40.157,91.27451
40.15188,91.07844
40.14676,90.88236
40.14164,90.68628
40.13652,90.55556
40.1314,90.42484
40.12628,90.30811
40.12116,90.25676
40.11604,90.20541
40.11092,90.15407
40.1058,90.07002
40.10069,89.98599
40.09557,89.80393
40.09045,89.62185
40.08533,89.43977
40.08022,89.06162
40.0751,89.07563
40.06998,89.08963
40.06487,88.90757
40.05975,88.72548
40.05464,88.52941
40.04952,88.33333
40.04441,88.13725
40.03929,87.74509
40.03418,87.54902
40.02906,87.54902
40.02395,87.54902
40.01884,86.86275
40.01373,86.56862
40.00861,86.56863
40.0035,86.37254
39.99839,86.17647
39.99327,85.88235
39.98816,85.39215
39.98305,85.39215
39.97794,85.19608
39.97283,85
39.96772,84.60784
39.96261,84.21568
39.9575,83.82353
39.95238,83.62745
39.94728,83.43137
39.94217,83.23529
39.93706,82.84314
39.93195,82.45098
39.92684,82.2549
39.92173,82.05882
39.91663,81.66666
39.91152,81.47059
39.90641,81.27451
39.9013,80.68627
39.8962,80.66994
39.89109,80.65359
39.88598,80.63725
39.88088,80.58824
39.87577,80.49019
39.87067,80.29412
39.86556,80.39216
39.86046,80.49019
39.85535,80.58824
39.85025,80.68627
39.84515,80.88235
39.84004,81.07843
39.83494,81.47059
39.82984,81.66667
39.82473,81.86274
39.81963,82.54902
39.81453,83.03922
39.80943,83.43137
39.80433,84.01961
39.79922,84.41177
39.79412,85
39.78902,85.39216
39.78392,85.78431
39.77882,86.37255
39.77372,86.7647
39.76862,87.35295
39.76352,87.7451
39.75843,88.33333
39.75333,88.72549
39.74823,89.11765
39.74313,89.50981
39.73803,90.09804
39.73294,90.4902
39.72784,90.68627
39.72274,91.37255
39.71765,91.86275
39.71255,92.05883
39.70745,92.35294
39.70236,92.64706
39.69727,93.03921
39.69217,93.2353
39.68707,93.43137
39.68198,93.82353
39.67689,94.01961
39.67179,94.21569
39.6667,94.31373
39.66161,94.41177
39.65651,94.60785
39.65142,94.80392
39.64633,94.98367
39.64124,95.1634
39.63615,95.34314
39.63105,95.58824
39.62596,95.63726
39.62087,95.68628
39.61578,95.63725
39.61069,95.58824
39.6056,95.7353
39.60051,95.88236
39.59542,95.97059
39.59034,96.05883
39.58525,96.09804
39.58016,96.13726
39.57507,96.17647
39.56998,96.27452
39.5649,96.37255
39.55981,96.37255
39.55472,96.37255
39.54964,96.37255
39.54455,96.37255
39.53946,96.37255
39.53438,96.37255
39.52929,96.37255
39.52421,96.37255
39.51912,96.37255
39.51404,96.37255
39.50896,96.37255
39.50387,96.37255
39.49879,96.37255
39.49371,96.37255
39.48862,96.37255
39.48354,96.37255
39.47846,96.37255
39.47338,96.37255
39.4683,96.39433
39.46321,96.41612
39.45813,96.43791
39.45306,96.45969
39.44798,96.48148
39.44289,96.50326
39.43782,96.42702
39.43274,96.35076
39.42766,96.47059
39.42258,96.56862
39.4175,96.37254
39.41242,96.37254
39.40734,96.37254
39.40227,96.37254
39.39719,96.37254
39.39212,96.37254
39.38704,96.37255
39.38196,96.40056
39.37689,96.42857
39.37181,96.45658
39.36674,96.38655
39.36166,96.31653
39.35659,96.27919
39.35151,96.24183
39.34644,96.17647
39.34137,96.17647
39.3363,96.17647
39.33122,96.17647
39.32615,96.17647
39.32108,96.15127
39.31601,96.12605
39.31094,96.10085
39.30586,96.07564
39.30079,96.05042
39.29572,96.06442
39.29065,96.07843
39.28558,96.09244
39.28051,96.10645
39.27544,96.12045
39.27037,96.03642
39.26531,95.95238
39.26024,95.96639
39.25517,95.98039
39.2501,95.98039
39.24504,95.98039
39.23997,95.98039
39.2349,95.84313
39.22984,95.70588
39.22477,95.66666
39.21971,95.62744
39.21464,95.58823
39.20958,95.68627
39.20451,95.78431
39.19945,95.78431
39.19438,95.78431
39.18932,95.79738
39.18426,95.81045
39.1792,95.82353
39.17413,95.8366
39.16907,95.84967
39.16401,95.86274
39.15895,95.67974
39.15388,95.49673
39.14882,95.60784
39.14376,95.71896
39.1387,95.66667
39.13364,95.61438
39.12859,95.56209
39.12352,95.47712
39.11847,95.39216
39.11341,95.41394
39.10835,95.43573
39.10329,95.45752
39.09824,95.4793
39.09318,95.50109
39.08812,95.52287
39.08307,95.54466
39.07801,95.56645
39.07295,95.49019
39.0679,95.39215
39.06284,95.39215
39.05779,95.39215
39.05273,95.37036
39.04768,95.34858
39.04263,95.32679
39.03757,95.305
39.03252,95.28322
39.02747,95.26143
39.02242,95.23965
39.01736,95.23965
39.01231,95.23965
39.00726,95.06537
39.00221,95.08715
38.99716,95.10893
38.99211,95.10271
38.98706,95.09648
38.98201,95.09026
38.97696,95.08403
38.97191,95.05603
38.96686,95.02801
38.96181,95.00001
38.95676,94.93465
38.95172,94.86929
38.94667,94.80393
38.94162,94.90197
38.93658,95
38.93153,95
38.92649,95
38.92144,94.96078
38.9164,94.92157
38.91135,94.88235
38.90631,94.84313
38.90126,94.80392
38.89622,94.73856
38.89117,94.6732
38.88613,94.60784
38.88109,94.70588
38.87605,94.80391
38.87101,94.60784
38.86596,94.55882
38.86092,94.5098
38.85588,94.46078
38.85084,94.41176
38.8458,94.3464
38.84076,94.28104
38.83572,94.21568
38.83068,94.21568
38.82565,94.21568
38.82061,94.21569
38.81557,94.24371
38.81053,94.2325
38.8055,94.2213
38.80046,94.2101
38.79542,94.19889
38.79039,94.18768
38.78535,94.21569
38.78032,94.21569
38.77528,94.21569
38.77024,94.21569
38.76521,94.01962
38.76017,94.21569
38.75514,94.21569
38.75011,94.21569
38.74508,94.21568
38.74004,94.15032
38.73501,94.08497
38.72998,94.01961
38.72495,94.01961
38.71992,94.01961
38.71489,94.01961
38.70985,93.95425
38.70483,93.91339
38.69979,93.87255
38.69477,93.86438
38.68974,93.85621
38.68471,93.84804
38.67968,93.83987
38.67465,93.8317
38.66962,93.82353
38.6646,93.82353
38.65957,93.82353
38.65454,93.82353
38.64952,93.77451
38.64449,93.72549
38.63947,93.67647
38.63444,93.69281
38.62942,93.75817
38.62439,93.82353
38.61937,93.72548
38.61435,93.62745
38.60933,93.78432
38.6043,93.7451
38.59928,93.70589
38.59426,93.66667
38.58923,93.62746
38.58421,93.62746
38.57919,93.62746
38.57417,93.62746
38.56915,93.52941
38.56413,93.43137
38.55911,93.41378
38.5541,93.39618
38.54908,93.37859
38.54406,93.36098
38.53904,93.3434
38.53402,93.3258
38.529,93.1448
38.52399,93.15989
38.51897,93.17497
38.51395,93.19005
38.50894,93.20514
38.50393,93.22022
38.49891,93.16993
38.4939,93.10457
38.48888,93.03922
38.48387,93.03922
38.47886,93.18627
38.47384,93.03921
38.46883,92.89216
38.46382,92.84314
38.45881,92.84314
38.45379,92.84314
38.44878,92.94117
38.44377,93.03921
38.43876,93.03921
38.43375,93.03921
38.42874,92.84313
38.42373,92.84313
38.41872,92.84313
38.41372,92.84313
38.40871,92.84314
38.4037,92.81046
38.39869,92.77778
38.39368,92.7451
38.38868,92.67974
38.38367,92.61437
38.37867,92.64705
38.37366,92.67973
38.36866,92.71241
38.36365,92.74509
38.35865,92.77777
38.35365,92.81044
38.34864,92.84313
38.34364,92.45098
38.33863,92.51634
38.33363,92.58171
38.32863,92.5817
38.32363,92.51634
38.31863,92.45098
38.31363,92.45098
38.30863,92.45098
38.30363,92.45098
38.29863,92.35294
38.29363,92.2549
38.28863,92.20588
38.28363,92.15686
38.27863,92.10784
38.27364,92.05882
38.26864,92.01961
38.26364,91.98039
38.25864,91.94118
38.25365,91.90196
38.24865,91.86274
38.24366,91.86274
38.23866,92.05882
38.23367,91.98039
38.22868,91.90196
38.22368,91.82352
38.21869,91.74509
38.2137,91.66667
38.2087,91.76471
38.20371,91.86275
38.19872,91.76471
38.19373,91.66667
38.18874,91.62745
38.18375,91.58824
38.17876,91.58824
38.17377,91.58825
38.16878,91.58824
38.16379,91.62746
38.1588,91.66667
38.15381,91.66667
